timestamp,side,price,size,trade_id
1747395807445,sell,103590.6,0.001422,736901265
1747395808879,sell,103590.6,0.00009,736901266
1747395809159,sell,103590,0.00030006,736901269
1747395811660,buy,103588.6,0.01009564,736901272
1747395811671,sell,103589.4,0.01,736901273
1747395811810,buy,103589.5,0.01,736901274
1747395811810,buy,103590,0.00001,736901275
1747395811810,buy,103590.1,0.00019341,736901276
1747395812171,buy,103590.5,0.00266723,736901277
1747395814769,buy,103590.5,0.01114327,736901280
1747395816839,buy,103591.3,0.01,736901281
1747395816839,buy,103591.9,0.0001557,736901282
1747395816839,buy,103593.4,0.002,736901283
1747395817125,buy,103594,0.00338325,736901284
1747395817335,buy,103594,0.00289829,736901285
1747395820439,buy,103594,0.01014325,736901287
1747395820451,sell,103594.3,0.01,736901288
1747395821219,buy,103594.4,0.01,736901289
1747395821469,buy,103594.5,0.01,736901290
1747395823139,buy,103594.6,0.01,736901291
1747395823150,sell,103594.6,0.01,736901292
1747395823329,buy,103594.7,0.01,736901293
1747395824716,sell,103594.7,0.00048,736901294
1747395824719,sell,103594.7,0.1995,736901298
1747395824719,sell,103594.7,0.04408242,736901299
1747395824719,sell,103594.7,0.17369571,736901301
1747395824719,sell,103594.7,0.31535228,736901308
1747395824720,sell,103594.5,0.02352186,736901309
1747395824720,sell,103594,0.00338329,736901310
1747395824720,sell,103593.8,0.01886074,736901311
1747395824720,sell,103593.8,0.01199871,736901312
1747395824720,sell,103592.8,0.02229912,736901313
1747395824720,sell,103592.8,0.00304658,736901314
1747395824720,sell,103591.8,0.005,736901315
1747395824720,sell,103591.7,0.005,736901316
1747395824720,sell,103591.4,0.00718266,736901317
1747395824720,sell,103591.4,0.0236775,736901318
1747395824720,sell,103590,0.00001,736901319
1747395824720,sell,103589.5,0.00164186,736901320
1747395824720,sell,103589.4,0.00970122,736901321
1747395824720,sell,103589.4,0.04,736901322
1747395824721,sell,103589.4,0.00048,736901323
1747395824721,sell,103589.4,0.00609115,736901324
1747395824721,sell,103589,0.002,736901325
1747395824721,sell,103587.1,0.00001,736901326
1747395824722,sell,103586.8,0.010998,736901327
1747395824722,sell,103586.6,0.00008585,736901328
1747395824722,sell,103586.1,0.00048,736901329
1747395824722,sell,103585.2,0.00289474,736901330
1747395824722,sell,103584,0.00198842,736901331
1747395824728,sell,103583.7,0.00482678,736901332
1747395824728,sell,103583.2,0.00001,736901333
1747395824728,sell,103582.9,0.00001,736901334
1747395824728,sell,103582.8,0.01727322,736901335
1747395824729,sell,103582.8,0.06617,736901336
1747395824729,sell,103582.8,0.03183,736901337
1747395824730,sell,103582.8,0.01060021,736901338
1747395824730,sell,103582.6,0.04,736901339
1747395824731,sell,103582.6,0.09169908,736901340
1747395824731,sell,103582.4,0.01065092,736901341
1747395824980,sell,103582.4,0.38652,736901345
1747395824982,sell,103582.4,0.00010014,736901346
1747395827199,sell,103582,0.00105127,736901348
1747395827199,sell,103581.4,0.00006615,736901349
1747395827199,sell,103580.9,0.00004827,736901350
1747395830049,sell,103580.1,0.00009946,736901351
1747395830219,sell,103580,0.00029006,736901353
1747395830219,sell,103579.8,0.002,736901354
1747395830219,sell,103579.3,0.005,736901355
1747395830888,buy,103578.1,0.48265126,736901365
1747395834602,buy,103578.1,0.12685689,736901369
1747395834602,buy,103578.1,0.02896368,736901370
1747395834604,buy,103580,0.00001,736901371
1747395834604,buy,103580.2,0.005,736901372
1747395834611,buy,103582.4,0.00571905,736901373
1747395834611,buy,103582.5,0.00015656,736901374
1747395834611,buy,103583.7,0.00008746,736901375
1747395834611,buy,103587.2,0.00099942,736901376
1747395834613,sell,103587.2,0.01,736901377
1747395834622,sell,103588.9,0.01,736901378
1747395835193,sell,103588.9,0.00047544,736901379
1747395835468,sell,103588.9,0.00029002,736901380
1747395841085,sell,103588.9,0.00012615,736901381
1747395841262,sell,103588.9,0.00029002,736901382
1747395842761,sell,103588.9,0.00486023,736901384
1747395844259,buy,103588.1,0.00013223,736901385
1747395844262,buy,103588.1,0.00001442,736901386
1747395844262,buy,103588.1,0.00001442,736901387
1747395844262,buy,103588.1,0.00001442,736901388
1747395844380,sell,103588,0.00009,736901389
1747395844419,sell,103586.8,0.005,736901390
1747395844419,sell,103586.7,0.005,736901391
1747395844540,sell,103582.4,0.00571926,736901392
1747395844760,sell,103580,0.00001,736901393
1747395844760,sell,103578.3,0.002895,736901394
1747395844779,sell,103578,0.00008587,736901395
1747395844779,sell,103577.7,0.00006462,736901396
1747395844820,sell,103574.7,0.00005098,736901398
1747395844824,sell,103574.7,0.00005098,736901399
1747395845439,sell,103574.6,0.00209,736901401
1747395845439,sell,103574.4,0.00004827,736901402
1747395845439,sell,103574.3,0.01,736901404
1747395845470,sell,103573.2,0.00002454,736901405
1747395846849,sell,103572,0.00017588,736901407
1747395846849,sell,103571.2,0.00287276,736901408
1747395846849,sell,103570.8,0.00042193,736901409
1747395847250,sell,103570.1,0.00016506,736901410
1747395847250,sell,103570,0.00029006,736901412
1747395847250,sell,103569.7,0.00004827,736901413
1747395847260,sell,103568.1,0.07814694,736901415
1747395847270,sell,103568.1,0.07664364,736901417
1747395847370,sell,103568,0.00009,736901418
1747395847370,sell,103566.9,0.00204636,736901420
1747395849980,buy,103564.1,0.01096536,736901422
1747395849980,buy,103564.3,0.01014232,736901423
1747395849991,sell,103568.1,0.01,736901424
1747395850040,buy,103568.2,0.01,736901425
1747395850051,sell,103569.4,0.01,736901426
1747395850207,buy,103569.5,0.098,736901428
1747395850207,buy,103569.8,0.0001387,736901429
1747395850220,buy,103570,0.00001,736901430
1747395850220,buy,103571.2,0.00572937,736901432
1747395850220,buy,103575.2,0.00001,736901433
1747395850220,buy,103576,0.00048,736901434
1747395850220,buy,103576.3,0.009101,736901435
1747395850221,sell,103577.9,0.01,736901436
1747395850231,sell,103579,0.01,736901438
1747395850240,buy,103579.1,0.00648294,736901439
1747395850240,buy,103579.4,0.005,736901440
1747395850240,buy,103579.7,0.002,736901441
1747395850250,sell,103579.9,0.01,736901442
1747395850773,buy,103580,0.00063911,736901445
1747395853668,buy,103580,0.00140267,736901446
1747395854395,sell,103579.9,0.00620204,736901447
1747395856199,sell,103579.9,0.00009509,736901448
